"","Nrep","intensity","rest","interval_duration","niveau_endurance","PAM","rest_power","duration","PC","DR","power_cogganEXP"
"1...574",18,72.5,30,240,"elevee",320,160,4830,247.864134218635,1,253.984464326308
"1...575",21,70,30,240,"elevee",320,160,5640,243.839690979724,1,249.871607912831
"1...576",2,95,300,255,"elevee",320,160,810,294.218448492949,1,328.811571383081
"1...577",3,90,240,255,"elevee",320,160,1245,283.057133472675,1,317.212394485471
"1...578",5,85,180,255,"elevee",320,160,1995,270.818629581339,1,299.913719023124
"1...579",7,82.5,120,255,"elevee",320,160,2505,264.907720766522,1,285.903077692648
"1...580",9,80,60,255,"elevee",320,160,2775,262.252383606104,1,273.629949238656
"1...581",12,77.5,60,255,"elevee",320,160,3720,254.645025795557,1,265.876043798323
"1...582",15,75,60,255,"elevee",320,160,4665,248.767644807468,1,259.821023823116
"1...583",18,72.5,30,255,"elevee",320,160,5100,246.454551043416,1,252.183845519353
"1...584",21,70,30,255,"elevee",320,160,5955,242.430938561933,1,248.077037214421
"1...585",2,95,300,270,"elevee",320,160,840,293.274896793659,1,326.001079986402
"1...586",3,90,240,270,"elevee",320,160,1290,282.136604537714,1,314.488798715256
"1...587",5,85,180,270,"elevee",320,160,2070,269.860044011241,1,297.41142225972
"1...588",7,82.5,120,270,"elevee",320,160,2610,263.842709752648,1,283.681535482167
"1...589",9,80,60,270,"elevee",320,160,2910,261.015909851762,1,271.729801808489
"1...590",12,77.5,60,270,"elevee",320,160,3900,253.418592072011,1,263.995567798159
"1...591",15,75,60,270,"elevee",320,160,4890,247.546133277408,1,257.955917084272
"1...592",18,72.5,30,270,"elevee",320,160,5370,245.112477145377,1,250.494818908822
"1...593",21,70,30,270,"elevee",320,160,6270,241.089667539363,1,246.393429411153
"1...594",2,95,300,285,"elevee",320,160,870,292.364555298251,1,323.409359986365
"1...595",3,90,240,285,"elevee",320,160,1335,281.247776174713,1,311.972186302415
"1...596",5,85,180,285,"elevee",320,160,2145,268.934947821747,1,295.092329231108
"1...597",7,82.5,120,285,"elevee",320,160,2715,262.81910417651,1,281.616641304772
"1...598",9,80,60,285,"elevee",320,160,3045,259.840980953719,1,269.960795134601
"1...599",12,77.5,60,285,"elevee",320,160,4080,252.246138686172,1,262.237076151559
"1...600",15,75,60,285,"elevee",320,160,5115,246.378054987698,1,256.211028039118
"1...601",18,72.5,30,285,"elevee",320,160,5640,243.839690979724,1,248.912445915265
"1...602",21,70,30,285,"elevee",320,160,6585,239.818489904141,1,244.816803149229
"1...603",2,95,300,300,"elevee",320,160,900,291.48483348601,1,321.007392431935
"1...604",3,90,240,300,"elevee",320,160,1380,280.388139080333,1,309.635582924009
"1...605",5,85,180,300,"elevee",320,160,2220,268.042351242529,1,292.934876255453
"1...606",7,82.5,120,300,"elevee",320,160,2820,261.833867587915,1,279.689091677162
"1...607",9,80,60,300,"elevee",320,160,3180,258.716166854189,1,268.300963647235
"1...608",12,77.5,60,300,"elevee",320,160,4260,251.123909323989,1,260.586915832944
"1...609",15,75,60,300,"elevee",320,160,5340,245.259687943377,1,254.572937408296
"1...610",18,72.5,30,300,"elevee",320,160,5910,242.627655978246,1,247.422511427208
"1...611",21,70,30,300,"elevee",320,160,6900,238.607176411883,1,243.331280141178
"1...612",2,95,300,315,"elevee",320,160,930,290.633289196298,1,318.771111302288
"1...613",3,90,240,315,"elevee",320,160,1425,279.555328328865,1,307.456521826641
"1...614",5,85,180,315,"elevee",320,160,2295,267.181883998229,1,290.921813284464
"1...615",7,82.5,120,315,"elevee",320,160,2925,260.884133896155,1,277.882663001482
"1...616",9,80,60,315,"elevee",320,160,3315,257.637373209097,1,266.737943596249
"1...617",12,77.5,60,315,"elevee",320,160,4440,250.048354479365,1,259.033452935419
"1...618",15,75,60,315,"elevee",320,160,5565,244.187515144951,1,253.030202401043
"1...619",18,72.5,30,315,"elevee",320,160,6180,241.468235134311,1,246.012264764127
"1...620",21,70,30,315,"elevee",320,160,7215,237.44845282215,1,241.925059754843
"1...621",2,95,300,330,"elevee",320,160,960,289.807621115155,1,316.680344756765
"1...622",3,90,240,330,"elevee",320,160,1470,278.747116043838,1,305.416098855804
"1...623",5,85,180,330,"elevee",320,160,2370,266.348599174619,1,289.033638808861
"1...624",7,82.5,120,330,"elevee",320,160,3030,259.967198830732,1,276.183579351802
"1...625",9,80,60,330,"elevee",320,160,3450,256.601300177081,1,265.261646351226
"1...626",12,77.5,60,330,"elevee",320,160,4620,249.016121188165,1,257.566666559952
"1...627",15,75,60,330,"elevee",320,160,5790,243.158214410371,1,251.572960527737
"1...628",18,72.5,30,330,"elevee",320,160,6450,240.3577548244,1,244.674343966058
"1...629",21,70,30,330,"elevee",320,160,7530,236.338646314253,1,240.590831878124
"1...630",2,95,300,345,"elevee",320,160,990,289.005883962898,1,314.718270910355
"1...631",3,90,240,345,"elevee",320,160,1515,277.961404417308,1,303.498261448073
"1...632",5,85,180,345,"elevee",320,160,2445,265.540243169489,1,287.256179271978
"1...633",7,82.5,120,345,"elevee",320,160,3135,259.08367369164,1,274.583446300153
"1...634",9,80,60,345,"elevee",320,160,3585,255.604831592436,1,263.863311217885
"1...635",12,77.5,60,345,"elevee",320,160,4800,248.024043242776,1,256.177842671595
"1...636",15,75,60,345,"elevee",320,160,6015,242.168648673515,1,250.192630684271
"1...637",18,72.5,30,345,"elevee",320,160,6720,239.292743934325,1,243.402220885183
"1...638",21,70,30,345,"elevee",320,160,7845,235.274286550792,1,239.322110941306
"1...639",2,95,300,360,"elevee",320,160,1020,288.234220758198,1,312.879402304892
"1...640",3,90,240,360,"elevee",320,160,1560,277.203925043939,1,301.69785972615
"1...641",5,85,180,360,"elevee",320,160,2520,264.75469388496,1,285.577248420538
"1...642",7,82.5,120,360,"elevee",320,160,3240,258.230373587525,1,273.071194182443
"1...643",9,80,60,360,"elevee",320,160,3720,254.645025795557,1,262.53526570998
"1...644",12,77.5,60,360,"elevee",320,160,4980,247.069131865568,1,254.859339865269
"1...645",15,75,60,360,"elevee",320,160,6240,241.215856737679,1,248.881684267502
"1...646",18,72.5,30,360,"elevee",320,160,6990,238.269923800028,1,242.190062225537
"1...647",21,70,30,360,"elevee",320,160,8160,234.252095619279,1,238.113098958216
"1...648",2,90,240,15,"elevee",320,160,270,332.433581083537,1,939.92502434822
"1...649",4,85,180,15,"elevee",320,160,600,302.006012859709,1,620.209056078365
"1...650",6,82.5,120,15,"elevee",320,160,690,298.382213065475,1,529.555442782698
"1...651",8,80,60,15,"elevee",320,160,540,304.744742548818,1,454.811816386362
"1...652",10,77.5,60,15,"elevee",320,160,690,298.382213065475,1,442.818938754728
"1...653",13,75,60,15,"elevee",320,160,915,291.05186054432,1,429.425272906253
"1...654",16,72.5,30,15,"elevee",320,160,690,298.382213065475,1,386.975525642655
"1...655",19,70,30,15,"elevee",320,160,825,293.742545243547,1,380.288088585468
"1...656",1,95,300,30,"elevee",320,160,30,591.705921640623,1,591.705921640623
"1...657",2,90,240,30,"elevee",320,160,300,320,1,558.475554675459
"1...658",4,85,180,30,"elevee",320,160,660,299.536440638896,1,481.961329994838
"1...659",6,82.5,120,30,"elevee",320,160,780,295.197957163228,1,433.122628631606
"1...660",8,80,60,30,"elevee",320,160,660,299.536440638896,1,387.287870794096
"1...661",10,77.5,60,30,"elevee",320,160,840,293.274896793659,1,378.593738403268
"1...662",13,75,60,30,"elevee",320,160,1110,286.036346641352,1,368.520569390593
"1...663",16,72.5,30,30,"elevee",320,160,930,290.633289196298,1,340.672734434528
"1...664",19,70,30,30,"elevee",320,160,1110,286.036346641352,1,335.043701569242
"1...665",1,95,300,45,"elevee",320,160,45,543.860667384306,1,543.860667384306
"1...666",2,90,240,45,"elevee",320,160,330,317.530548328156,1,469.559293834562
"1...667",4,85,180,45,"elevee",320,160,720,297.276663787769,1,427.263086048539
"1...668",6,82.5,120,45,"elevee",320,160,870,292.364555298251,1,391.728836374541
"1...669",8,80,60,45,"elevee",320,160,780,295.197957163228,1,356.814693707597
"1...670",10,77.5,60,45,"elevee",320,160,990,289.005883962898,1,349.398454004824
"1...671",13,75,60,45,"elevee",320,160,1305,281.836887046908,1,340.645458218159
"1...672",16,72.5,30,45,"elevee",320,160,1170,284.673303994055,1,319.042271117446
"1...673",19,70,30,45,"elevee",320,160,1395,280.10471439656,1,313.861585586116
"1...674",1,95,300,60,"elevee",320,160,60,509.914007488792,1,509.914007488792
"1...675",2,90,240,60,"elevee",320,160,360,315.270712438206,1,430.026499789144
"1...676",4,85,180,60,"elevee",320,160,780,295.197957163228,1,397.84719404917
"1...677",6,82.5,120,60,"elevee",320,160,960,289.807621115155,1,368.218162051835
"1...678",8,80,60,60,"elevee",320,160,900,291.48483348601,1,339.029415024994
"1...679",10,77.5,60,60,"elevee",320,160,1140,285.347723519279,1,332.146289203197
"1...680",13,75,60,60,"elevee",320,160,1500,278.222297800092,1,323.965229861384
"1...681",16,72.5,30,60,"elevee",320,160,1410,279.828042872639,1,305.879951647571
"1...682",19,70,30,60,"elevee",320,160,1680,275.28084719247,1,300.904894799713
"1...683",1,95,300,75,"elevee",320,160,75,483.583764687578,1,483.583764687578
"1...684",2,90,240,75,"elevee",320,160,390,313.191987926211,1,406.150448067876
"1...685",4,85,180,75,"elevee",320,160,840,293.274896793659,1,378.593738403268
"1...686",6,82.5,120,75,"elevee",320,160,1050,287.483080538602,1,352.42918522617
"1...687",8,80,60,75,"elevee",320,160,1020,288.234220758198,1,326.896483446409
"1...688",10,77.5,60,75,"elevee",320,160,1290,282.136604537714,1,320.292867379812
"1...689",13,75,60,75,"elevee",320,160,1695,275.047076096087,1,312.429900557239
"1...690",16,72.5,30,75,"elevee",320,160,1650,275.748389385236,1,296.641659501729
"1...691",19,70,30,75,"elevee",320,160,1965,271.212284231902,1,291.778298226934
"1...692",1,95,300,90,"elevee",320,160,90,462.069062676251,1,462.069062676251
"1...693",2,90,240,90,"elevee",320,160,420,311.268945042516,1,389.645492362028
"1...694",4,85,180,90,"elevee",320,160,900,291.48483348601,1,364.658353529277
"1...695",6,82.5,120,90,"elevee",320,160,1140,285.347723519279,1,340.819096876
"1...696",8,80,60,90,"elevee",320,160,1140,285.347723519279,1,317.875013528751
"1...697",10,77.5,60,90,"elevee",320,160,1440,279.282613785091,1,311.442236287652
"1...698",13,75,60,90,"elevee",320,160,1890,272.222641197774,1,303.780197034982
"1...699",16,72.5,30,90,"elevee",320,160,1890,272.222641197774,1,289.607862882087
"1...700",19,70,30,90,"elevee",320,160,2250,267.697204115663,1,284.818196636044
"1...701",1,95,300,105,"elevee",320,160,105,443.879460847471,1,443.879460847471
"1...702",2,90,240,105,"elevee",320,160,450,309.478929446644,1,377.316487941145
"1...703",4,85,180,105,"elevee",320,160,960,289.807621115155,1,353.926714228446
"1...704",6,82.5,120,105,"elevee",320,160,1230,283.375278972852,1,331.78376923874
"1...705",8,80,60,105,"elevee",320,160,1260,282.748851176078,1,310.780138222187
"1...706",10,77.5,60,105,"elevee",320,160,1590,276.710315389367,1,304.460868346124
"1...707",13,75,60,105,"elevee",320,160,2085,269.674513823008,1,296.936118962027
"1...708",16,72.5,30,105,"elevee",320,160,2130,269.117923258309,1,283.966558116338
"1...709",19,70,30,105,"elevee",320,160,2535,264.601667003398,1,279.228935101307
"1...710",1,95,300,120,"elevee",320,160,120,428.122761708517,1,428.122761708517
"1...711",2,90,240,120,"elevee",320,160,480,307.80179043491,1,367.625410305986
"1...712",4,85,180,120,"elevee",320,160,1020,288.234220758198,1,345.313526353668
"1...713",6,82.5,120,120,"elevee",320,160,1320,281.54233161081,1,324.468930954752
"1...714",8,80,60,120,"elevee",320,160,1380,280.388139080333,1,304.983098694201
"1...715",10,77.5,60,120,"elevee",320,160,1740,274.370485325232,1,298.742724627481
"1...716",13,75,60,120,"elevee",320,160,2280,267.353657370707,1,291.316098734643
"1...717",16,72.5,30,120,"elevee",320,160,2370,266.348599174619,1,279.280645770139
"1...718",19,70,30,120,"elevee",320,160,2820,261.833867587915,1,274.575060935967
"1...719",1,95,300,135,"elevee",320,160,135,414.224645054717,1,414.224645054717
"1...720",2,90,240,135,"elevee",320,160,510,306.228259762716,1,359.735051345111
"1...721",4,85,180,135,"elevee",320,160,1080,286.750586191244,1,338.184498219788
"1...722",6,82.5,120,135,"elevee",320,160,1410,279.828042872639,1,318.369852478416
"1...723",8,80,60,135,"elevee",320,160,1500,278.222297800092,1,300.105891033753
"1...724",10,77.5,60,135,"elevee",320,160,1890,272.222641197774,1,293.924234919972
"1...725",13,75,60,135,"elevee",320,160,2475,265.222169957,1,286.572045809247
"1...726",16,72.5,30,135,"elevee",320,160,2610,263.842709752648,1,275.277113094249
"1...727",19,70,30,135,"elevee",320,160,3105,259.336109445667,1,270.603075578531
"1...728",1,95,300,150,"elevee",320,160,150,401.792066327416,1,401.792066327416
"1...729",2,90,240,150,"elevee",320,160,540,304.744742548818,1,353.135053496042
"1...730",4,85,180,150,"elevee",320,160,1140,285.347723519279,1,332.146289203197
"1...731",6,82.5,120,150,"elevee",320,160,1500,278.222297800092,1,313.175038778467
"1...732",8,80,60,150,"elevee",320,160,1620,276.224411717706,1,295.915244583611
"1...733",10,77.5,60,150,"elevee",320,160,2040,270.240180399247,1,289.778656393292
"1...734",13,75,60,150,"elevee",320,160,2670,263.253732735757,1,282.484621386921
"1...735",16,72.5,30,150,"elevee",320,160,2850,261.561215009197,1,271.794749504557
"1...736",19,70,30,150,"elevee",320,160,3390,257.053078259362,1,267.136981396567
"1...737",1,95,300,165,"elevee",320,160,165,390.545816785215,1,390.545816785215
"1...738",2,90,240,165,"elevee",320,160,570,303.341788319281,1,347.498966170667
"1...739",4,85,180,165,"elevee",320,160,1200,284.012024353201,1,326.931419292585
"1...740",6,82.5,120,165,"elevee",320,160,1590,276.710315389367,1,308.66968604275
"1...741",8,80,60,165,"elevee",320,160,1740,274.370485325232,1,292.252205066991
"1...742",10,77.5,60,165,"elevee",320,160,2190,268.399389874216,1,286.150970964722
"1...743",13,75,60,165,"elevee",320,160,2865,261.424888719838,1,278.903363079214
"1...744",16,72.5,30,165,"elevee",320,160,3090,259.46232732268,1,268.712206868033
"1...745",19,70,30,165,"elevee",320,160,3675,254.957342539813,1,264.07209268485
"1...746",1,95,300,180,"elevee",320,160,180,380.27827354314,1,380.27827354314
"1...747",2,90,240,180,"elevee",320,160,600,302.006012859709,1,342.599526094437
"1...748",4,85,180,180,"elevee",320,160,1260,282.748851176078,1,322.374070071947
"1...749",6,82.5,120,180,"elevee",320,160,1680,275.28084719247,1,304.705029794601
"1...750",8,80,60,180,"elevee",320,160,1860,272.639158162689,1,289.003366849576
"1...751",10,77.5,60,180,"elevee",320,160,2340,266.679163868451,1,282.930290348572
"1...752",13,75,60,180,"elevee",320,160,3060,259.714763076706,1,275.720345836025
"1...753",16,72.5,30,180,"elevee",320,160,3330,257.52051421915,1,265.950652840929
"1...754",19,70,30,180,"elevee",320,160,3960,253.017905642543,1,261.324774449471
"1...755",1,95,300,195,"elevee",320,160,195,370.832974733202,1,370.832974733202
"1...756",2,90,240,195,"elevee",320,160,630,300.743007139339,1,338.295725280735
"1...757",4,85,180,195,"elevee",320,160,1320,281.54233161081,1,318.332699853145
"1...758",6,82.5,120,195,"elevee",320,160,1770,273.923610747277,1,301.172738619497
"1...759",8,80,60,195,"elevee",320,160,1980,271.011895485677,1,286.085281583363
"1...760",10,77.5,60,195,"elevee",320,160,2490,265.063133350755,1,280.036937352931
"1...761",13,75,60,195,"elevee",320,160,3255,258.108925270859,1,272.859774983219
"1...762",16,72.5,30,195,"elevee",320,160,3570,255.713025644297,1,263.449986587197
"1...763",19,70,30,195,"elevee",320,160,4245,251.21665334041,1,258.840399937388
"1...764",1,95,300,210,"elevee",320,160,210,362.087982601411,1,362.087982601411
"1...765",2,90,240,210,"elevee",320,160,660,299.536440638896,1,334.462056925377
"1...766",4,85,180,210,"elevee",320,160,1380,280.388139080333,1,314.712596091382
"1...767",6,82.5,120,210,"elevee",320,160,1860,272.639158162689,1,298.002693364583
"1...768",8,80,60,210,"elevee",320,160,2100,269.488983634775,1,283.452249721215
"1...769",10,77.5,60,210,"elevee",320,160,2640,263.548221244203,1,277.422579281317
"1...770",13,75,60,210,"elevee",320,160,3450,256.601300177081,1,270.27132977829
"1...771",16,72.5,30,210,"elevee",320,160,3810,254.020392307045,1,261.163833664662
"1...772",19,70,30,210,"elevee",320,160,4530,249.531324216721,1,256.570114972129
"1...773",1,95,300,225,"elevee",320,160,225,353.946698903748,1,353.946698903748
"1...774",2,90,240,225,"elevee",320,160,690,298.382213065475,1,331.015140143716
"1...775",4,85,180,225,"elevee",320,160,1440,279.282613785091,1,311.442236287652
"1...776",6,82.5,120,225,"elevee",320,160,1950,271.412672978127,1,295.125187312782
"1...777",8,80,60,225,"elevee",320,160,2220,268.042351242529,1,281.040124574661
"1...778",10,77.5,60,225,"elevee",320,160,2790,262.110703463502,1,275.028360801275
"1...779",13,75,60,225,"elevee",320,160,3645,255.172055384989,1,267.901175280982
"1...780",16,72.5,30,225,"elevee",320,160,4050,252.438911269269,1,259.069081782174
"1...781",19,70,30,225,"elevee",320,160,4815,247.943634453942,1,254.47604125221
"1...782",1,95,300,240,"elevee",320,160,240,346.331877715445,1,346.331877715445
"1...783",2,90,240,240,"elevee",320,160,720,297.276663787769,1,327.891232434577
"1...784",4,85,180,240,"elevee",320,160,1500,278.222297800092,1,308.466103673527
"1...785",6,82.5,120,240,"elevee",320,160,2040,270.240180399247,1,292.495310403793
"1...786",8,80,60,240,"elevee",320,160,2340,266.679163868451,1,278.830699349571
"1...787",10,77.5,60,240,"elevee",320,160,2940,260.752959146969,1,272.83146517864
"1...788",13,75,60,240,"elevee",320,160,3840,253.819278501478,1,265.72255565783
"1...789",16,72.5,30,240,"elevee",320,160,4290,250.940748246528,1,257.122415373665
"1...790",19,70,30,240,"elevee",320,160,5100,246.454551043416,1,252.544925840056
"1...791",1,95,300,255,"elevee",320,160,255,339.17785213299,1,339.17785213299
"1...792",2,90,240,255,"elevee",320,160,750,296.21633409491,1,325.040444981553
"1...793",4,85,180,255,"elevee",320,160,1560,277.203925043939,1,305.740288014283
"1...794",6,82.5,120,255,"elevee",320,160,2130,269.117923258309,1,290.07737727256
"1...795",8,80,60,255,"elevee",320,160,2460,265.381206563245,1,276.784680533784
"1...796",10,77.5,60,255,"elevee",320,160,3090,259.46232732268,1,270.798822343511
"1...797",13,75,60,255,"elevee",320,160,4035,252.535297560818,1,263.708164237395
"1...798",16,72.5,30,255,"elevee",320,160,4530,249.531324216721,1,255.318328608413
"1...799",19,70,30,255,"elevee",320,160,5385,245.038871746377,1,250.739787284574
"1...800",1,95,300,270,"elevee",320,160,270,332.433581083537,1,332.433581083537
"1...801",2,90,240,270,"elevee",320,160,780,295.197957163228,1,322.423035392731
"1...802",4,85,180,270,"elevee",320,160,1620,276.224411717706,1,303.229484596714
"1...803",6,82.5,120,270,"elevee",320,160,2220,268.042351242529,1,287.842556698774
"1...804",8,80,60,270,"elevee",320,160,2580,264.142586358712,1,274.880237201403
"1...805",10,77.5,60,270,"elevee",320,160,3240,258.230373587525,1,268.906146000849
"1...806",13,75,60,270,"elevee",320,160,4230,251.30939735683,1,261.831630068168
"1...807",16,72.5,30,270,"elevee",320,160,4770,248.189288034929,1,253.626133698509
"1...808",19,70,30,270,"elevee",320,160,5670,243.703395665853,1,249.05912034195
"1...809",1,95,300,285,"elevee",320,160,285,326.0528201955,1,326.0528201955
"1...810",2,90,240,285,"elevee",320,160,810,294.218448492949,1,320.006848923868
"1...811",4,85,180,285,"elevee",320,160,1680,275.28084719247,1,300.904894799713
"1...812",6,82.5,120,285,"elevee",320,160,2310,267.01011062575,1,285.767210331904
"1...813",8,80,60,285,"elevee",320,160,2700,262.960784319112,1,273.102301554975
"1...814",10,77.5,60,285,"elevee",320,160,3390,257.053078259362,1,267.136981396567
"1...815",13,75,60,285,"elevee",320,160,4425,250.137593856082,1,260.076805744018
"1...816",16,72.5,30,285,"elevee",320,160,5010,246.913527377721,1,252.037850331729
"1...817",19,70,30,285,"elevee",320,160,5955,242.430938561933,1,247.478474588747
"1...818",1,95,300,300,"elevee",320,160,300,320,1,320
"1...819",2,90,240,300,"elevee",320,160,840,293.274896793659,1,317.765510362577
"1...820",4,85,180,300,"elevee",320,160,1740,274.370485325232,1,298.742724627481
"1...821",6,82.5,120,300,"elevee",320,160,2400,266.018034480786,1,283.831703010109
"1...822",8,80,60,300,"elevee",320,160,2820,261.833867587915,1,271.438831373723
"1...823",10,77.5,60,300,"elevee",320,160,3540,255.929413748021,1,265.480392904298
"1...824",13,75,60,300,"elevee",320,160,4620,249.016121188165,1,258.430093057825
"1...825",16,72.5,30,300,"elevee",320,160,5250,245.701320337377,1,250.545186051647
"1...826",19,70,30,300,"elevee",320,160,6240,241.215856737679,1,245.986658598642
"1...827",1,95,300,315,"elevee",320,160,315,318.73716177444,1,318.73716177444
"1...828",2,90,240,315,"elevee",320,160,870,292.364555298251,1,315.677119602486
"1...829",4,85,180,315,"elevee",320,160,1800,273.490736183885,1,296.723089734541
"1...830",6,82.5,120,315,"elevee",320,160,2490,265.063133350755,1,282.019534257767
"1...831",8,80,60,315,"elevee",320,160,2940,260.752959146969,1,269.872376457445
"1...832",10,77.5,60,315,"elevee",320,160,3690,254.853236958395,1,263.92189945792
"1...833",13,75,60,315,"elevee",320,160,4815,247.943634453942,1,256.882219383986
"1...834",16,72.5,30,315,"elevee",320,160,5490,244.541635021533,1,249.132368010083
"1...835",19,70,30,315,"elevee",320,160,6525,240.05420302018,1,244.575250035429
"1...836",1,95,300,330,"elevee",320,160,330,317.530548328156,1,317.530548328156
"1...837",2,90,240,330,"elevee",320,160,900,291.48483348601,1,313.723293094073
"1...838",4,85,180,330,"elevee",320,160,1860,272.639158162689,1,294.829202870184
"1...839",6,82.5,120,330,"elevee",320,160,2580,264.142586358712,1,280.316693227466
"1...840",8,80,60,330,"elevee",320,160,3060,259.714763076706,1,268.392812589975
"1...841",10,77.5,60,330,"elevee",320,160,3840,253.819278501478,1,262.449388044961
"1...842",13,75,60,330,"elevee",320,160,5010,246.913527377721,1,255.419789361724
"1...843",16,72.5,30,330,"elevee",320,160,5730,243.430805038112,1,247.792005635633
"1...844",19,70,30,330,"elevee",320,160,6810,238.944429023737,1,243.239076640331
"1...845",1,95,300,345,"elevee",320,160,345,316.376285703828,1,316.376285703828
"1...846",2,90,240,345,"elevee",320,160,930,290.633289196298,1,311.888447729737
"1...847",4,85,180,345,"elevee",320,160,1920,271.813450470577,1,293.04676138731
"1...848",6,82.5,120,345,"elevee",320,160,2670,263.253732735757,1,278.711172078429
"1...849",8,80,60,345,"elevee",320,160,3180,258.716166854189,1,266.991351857393
"1...850",10,77.5,60,345,"elevee",320,160,3990,252.824456435463,1,261.054170691118
"1...851",13,75,60,345,"elevee",320,160,5205,245.922136534377,1,254.033610537358
"1...852",16,72.5,30,345,"elevee",320,160,5970,242.365366089829,1,246.517548336241
"1...853",19,70,30,345,"elevee",320,160,7095,237.881130696,1,241.969637692479
"1...854",1,95,300,360,"elevee",320,160,360,315.270712438206,1,315.270712438206
"1...855",2,90,240,360,"elevee",320,160,960,289.807621115155,1,310.159257807314
"1...856",4,85,180,360,"elevee",320,160,1980,271.011895485677,1,291.363972591854
"1...857",6,82.5,120,360,"elevee",320,160,2760,262.394063748705,1,277.192593636953
"1...858",8,80,60,360,"elevee",320,160,3300,257.754232199044,1,265.660300792612
"1...859",10,77.5,60,360,"elevee",320,160,4140,251.865861455352,1,259.728638254656
"1...860",13,75,60,360,"elevee",320,160,5400,244.966578873432,1,252.716187621201
"1...861",16,72.5,30,360,"elevee",320,160,6210,241.342045935995,1,245.30314511632
"1...862",19,70,30,360,"elevee",320,160,7380,236.859055949176,1,240.759092284211
